,venue.name,venue.location.lat,venue.location.lng,venue.location.distance,venue_type,Beach,Ethiopian restaurant,Indian restaurant,Italian restaurant,Lake,Mexican restaurant,Scenic lookout,Thai restaurant,Waterfall
5,Mountain Lake Park,37.787303073558135,-122.46913934392096,5159,Lake,0,0,0,0,1,0,0,0,0
6,Point Tiburon Plaza,37.87307693273969,-122.45524036668006,10224,Lake,0,0,0,0,1,0,0,0,0
7,Lake Temescal,37.84706967631539,-122.2303316425959,17141,Lake,0,0,0,0,1,0,0,0,0
8,Lake Elizabeth,37.547288358920554,-121.96456059631468,47579,Lake,0,0,0,0,1,0,0,0,0
9,Temescal Regional Park,37.847600705112136,-122.23220984418955,17011,Lake,0,0,0,0,1,0,0,0,0
10,Crystal Springs Reservoir,37.511478686005475,-122.3501654293627,31270,Lake,0,0,0,0,1,0,0,0,0
11,Stafford Lake,38.113023181916056,-122.65229062997277,41918,Lake,0,0,0,0,1,0,0,0,0
12,Shoreline Park & Lake,37.43281689211257,-122.08829448869808,48716,Lake,0,0,0,0,1,0,0,0,0
13,Bonsai Garden,37.806118202857625,-122.25824640442738,13538,Lake,0,0,0,0,1,0,0,0,0
14,Water Dog Lake Park,37.50928328787096,-122.30830192565918,32339,Lake,0,0,0,0,1,0,0,0,0
15,Quarry Lakes Regional Recreation Area,37.575022670263316,-122.00883434632036,42613,Lake,0,0,0,0,1,0,0,0,0
16,Alpine Dam,37.94056915926411,-122.63861436564406,26252,Lake,0,0,0,0,1,0,0,0,0
17,The Panhandle,37.77237695730286,-122.44657516479494,3635,Lake,0,0,0,0,1,0,0,0,0
18,Tilden Regional Park,37.89995,-122.250956,18739,Lake,0,0,0,0,1,0,0,0,0
19,Belvedere Lagoon,37.87600853980525,-122.46871230789485,11023,Lake,0,0,0,0,1,0,0,0,0
20,Stern Grove Dog Park,37.736299012667054,-122.4843567609787,8703,Lake,0,0,0,0,1,0,0,0,0
21,Aquatic Park,37.860435,-122.29935,12649,Lake,0,0,0,0,1,0,0,0,0
22,Heather Farm Park Swim Center,37.918203177365925,-122.04187343999094,35481,Lake,0,0,0,0,1,0,0,0,0
23,John McLaren Park Reservoir,37.72196964301879,-122.42253377247239,7459,Lake,0,0,0,0,1,0,0,0,0
24,Fremont Central Park,37.552258,-121.963812,47324,Lake,0,0,0,0,1,0,0,0,0
25,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,Lake,0,0,0,0,1,0,0,0,0
26,Strawberry Hill,37.76844396383533,-122.47538575501751,6121,Lake,0,0,0,0,1,0,0,0,0
27,Bay Trail,37.8624903017052,-122.30241644760162,12590,Lake,0,0,0,0,1,0,0,0,0
28,San Lorenzo Park,37.66526994302172,-122.14227964317361,27299,Lake,0,0,0,0,1,0,0,0,0
29,San Andreas Trail,37.61860926694178,-122.4419548196187,19091,Lake,0,0,0,0,1,0,0,0,0
30,Lake Merritt,37.804806,-122.256463,13673,Lake,0,0,0,0,1,0,0,0,0
31,Snow Park,37.807034381169096,-122.26496502138077,12970,Lake,0,0,0,0,1,0,0,0,0
32,Portals of the Past at Lloyd Lake,37.770759,-122.482512,6629,Lake,0,0,0,0,1,0,0,0,0
33,Lake Merced,37.719472945277204,-122.49438285827635,10639,Lake,0,0,0,0,1,0,0,0,0
34,Lloyd Lake,37.7706977768871,-122.48161017894743,6556,Lake,0,0,0,0,1,0,0,0,0
35,Grand Lake Park,37.80770876706858,-122.25137780106361,14162,Lake,0,0,0,0,1,0,0,0,0
36,Palace of Fine Arts Lagoon,37.802501824698986,-122.44722973327524,3596,Lake,0,0,0,0,1,0,0,0,0
37,Alvord Lake,37.769057913877674,-122.45391975521774,4379,Lake,0,0,0,0,1,0,0,0,0
38,Crissy Field Marsh,37.80527578397067,-122.4569218326942,4499,Lake,0,0,0,0,1,0,0,0,0
39,Chain of Lakes,37.76703885854222,-122.50043950460162,8259,Lake,0,0,0,0,1,0,0,0,0
40,Lily Pond - Golden Gate Park,37.770860989544204,-122.46220704891903,4946,Lake,0,0,0,0,1,0,0,0,0
41,Mountain Lake,37.78797115949144,-122.47106909751894,5328,Lake,0,0,0,0,1,0,0,0,0
42,Koi Pond,37.770280804235725,-122.46982713746732,5591,Lake,0,0,0,0,1,0,0,0,0
43,Waterfowl Pond,37.768214,-122.469689,5667,Lake,0,0,0,0,1,0,0,0,0
44,Laguna Honda Reservoir,37.74839962027423,-122.4592161800663,6172,Lake,0,0,0,0,1,0,0,0,0
45,Spreckles Lake,37.76559827606509,-122.47740332128038,6406,Lake,0,0,0,0,1,0,0,0,0
46,Elk Glen Lake,37.76684520609777,-122.48196343017594,6726,Lake,0,0,0,0,1,0,0,0,0
47,Mallard Lake,37.76646734690438,-122.48681627272792,7141,Lake,0,0,0,0,1,0,0,0,0
48,John McLaren Park,37.72434572226247,-122.42319189072175,7206,Lake,0,0,0,0,1,0,0,0,0
49,Metson Lake,37.767203602481075,-122.48937249183655,7326,Lake,0,0,0,0,1,0,0,0,0
50,Spreckels Lake,37.770601638002034,-122.49410064001667,7614,Lake,0,0,0,0,1,0,0,0,0
51,Sunset Reservoir,37.750594081183735,-122.48529080212008,7805,Lake,0,0,0,0,1,0,0,0,0
52,Middle Lake,37.766095777604654,-122.49977634589084,8234,Lake,0,0,0,0,1,0,0,0,0
53,South Lake,37.76482805980789,-122.50012450474016,8307,Lake,0,0,0,0,1,0,0,0,0
54,North Lake,37.77072321929914,-122.50281572341919,8354,Lake,0,0,0,0,1,0,0,0,0
55,Eagle Island,37.73271309996426,-122.49913573265074,9956,Lake,0,0,0,0,1,0,0,0,0
56,Twin Peaks Reservoir,37.756202659943916,-122.4485492706299,4896,Lake,0,0,0,0,1,0,0,0,0
57,Lake Merced Boathouse,37.72553902130178,-122.49949818636526,10495,Lake,0,0,0,0,1,0,0,0,0
58,Lagoon,37.69346478375562,-122.39175246151261,10685,Lake,0,0,0,0,1,0,0,0,0
59,Berkeley Aquatic Park (Water Ski Club),37.85488005169938,-122.30019066330105,12207,Lake,0,0,0,0,1,0,0,0,0
60,Alameda Lagoon,37.774341032822996,-122.26433805562681,12953,Lake,0,0,0,0,1,0,0,0,0
61,Koi & Turtle Pond,37.67204185702756,-122.47095118589267,13993,Lake,0,0,0,0,1,0,0,0,0
62,Lake Lagunitas,37.94921049448448,-122.59750238393072,24308,Lake,0,0,0,0,1,0,0,0,0
63,Rockridge Shopping Center Quarry,37.834837433004544,-122.24827201315081,15178,Lake,0,0,0,0,1,0,0,0,0
64,Bon Tempe Lake,37.95528007972603,-122.60456367666744,25225,Lake,0,0,0,0,1,0,0,0,0
65,Phoenix Lake,37.955009693643646,-122.57650136947632,23604,Lake,0,0,0,0,1,0,0,0,0
66,Duck Lagoon,37.73783371706499,-122.24063783884048,15969,Lake,0,0,0,0,1,0,0,0,0
67,Berkeley Paddling & Rowing Club (BPRC),37.852051733896076,-122.29911804199217,12095,Lake,0,0,0,0,1,0,0,0,0
68,Jewel Lake,37.90990928202872,-122.2658622819385,18571,Lake,0,0,0,0,1,0,0,0,0
69,San Andreas Lake,37.59619341110291,-122.4174899057323,21393,Lake,0,0,0,0,1,0,0,0,0
70,Anza Lagoon,37.590061612310265,-122.3417329371637,22884,Lake,0,0,0,0,1,0,0,0,0
71,The Lake At Woodlake,37.58128518802854,-122.33028462925094,24103,Lake,0,0,0,0,1,0,0,0,0
72,Crocker Lake,37.55750848926517,-122.38087037204052,25823,Lake,0,0,0,0,1,0,0,0,0
73,Lake Merritt Boating Center,37.80666460115532,-122.25650310516357,13699,Lake,0,0,0,0,1,0,0,0,0
74,Lagoon Park,38.00133688410267,-122.53141880035402,25985,Lake,0,0,0,0,1,0,0,0,0
75,Alpine Lake,37.94056566897255,-122.63861571770481,26252,Lake,0,0,0,0,1,0,0,0,0
76,Stinson Lagoon,37.90819,-122.670437,26461,Lake,0,0,0,0,1,0,0,0,0
77,Stow Lake Boat House,37.77063483611997,-122.47701639378465,6173,Lake,0,0,0,0,1,0,0,0,0
78,Foster City Lagoon,37.56148081281294,-122.26717126973074,28231,Lake,0,0,0,0,1,0,0,0,0
79,Leo J Ryan Lake,37.557200155977,-122.27148056030273,28493,Lake,0,0,0,0,1,0,0,0,0
80,USA-71 BMW-Oracle Racing Boat,37.528978474273146,-122.26319817140478,31651,Lake,0,0,0,0,1,0,0,0,0
81,Cull Canyon Lagoon,37.70831981484699,-122.05735215067224,32334,Lake,0,0,0,0,1,0,0,0,0
82,Emerald Lake,37.45934283162981,-122.25961446762085,38960,Lake,0,0,0,0,1,0,0,0,0
83,Heather Farm Duck Pond,37.918864717807,-122.04206812695698,35495,Lake,0,0,0,0,1,0,0,0,0
84,The Inkwells,38.00471096110646,-122.70857187816516,35580,Lake,0,0,0,0,1,0,0,0,0
85,Scottsdale Pond,38.08873890378578,-122.55879196859135,35889,Lake,0,0,0,0,1,0,0,0,0
86,Bass Lake,37.95076284049925,-122.7642560005188,35964,Lake,0,0,0,0,1,0,0,0,0
87,Sonoma-Napa Marshes Wildlife Area,38.11818406411749,-122.29633141926367,38065,Lake,0,0,0,0,1,0,0,0,0
88,Ellis Lake Park,37.97086739479762,-122.03805529871629,38521,Lake,0,0,0,0,1,0,0,0,0
89,Lake Herman,38.09763887372411,-122.15178429960226,41250,Lake,0,0,0,0,1,0,0,0,0
90,Newark Lake,37.55736350906115,-122.03910953338018,41613,Lake,0,0,0,0,1,0,0,0,0
91,Nicasio Reservoir,38.08914207544305,-122.73364077367381,43890,Lake,0,0,0,0,1,0,0,0,0
92,Emerald Lake Country Club,37.463124681394895,-122.2616916178548,38502,Lake,0,0,0,0,1,0,0,0,0
93,Sharron Heights Duck Pond,37.42380702521765,-122.21036193797421,44247,Lake,0,0,0,0,1,0,0,0,0
94,Quarry Lakes,37.56387623503351,-121.99545915429978,44286,Lake,0,0,0,0,1,0,0,0,0
95,DoubleTree Lagoon,38.172464,-122.252697,44950,Lake,0,0,0,0,1,0,0,0,0
96,Palo Alto Duck Pond,37.45703160553576,-122.10874374281973,45472,Lake,0,0,0,0,1,0,0,0,0
97,Lake Lagunita,37.423740849420255,-122.17464656194025,45602,Lake,0,0,0,0,1,0,0,0,0
98,Tule Ponds,37.55798595032727,-121.9749462386784,46152,Lake,0,0,0,0,1,0,0,0,0
99,Shinn Pond,37.56258953047224,-121.96722541796669,46439,Lake,0,0,0,0,1,0,0,0,0
100,Leland Fly Fishing Ranch,38.221424714588814,-122.45558390088385,48376,Lake,0,0,0,0,1,0,0,0,0
101,Felt Lake,37.392118328306466,-122.1844482421875,48400,Lake,0,0,0,0,1,0,0,0,0
102,Berkeley Aquatic Park,37.843273883774565,-122.29642001180397,11751,Lake,0,0,0,0,1,0,0,0,0
103,Adams Point,37.809450486688085,-122.25326671108299,14029,Lake,0,0,0,0,1,0,0,0,0
104,Marin County Fair,38.00269631802655,-122.53169159465246,26133,Lake,0,0,0,0,1,0,0,0,0
105,Shoreline Dog Park,37.42841638407714,-122.07743149287788,49675,Lake,0,0,0,0,1,0,0,0,0
106,Cull Canyon Regional Recreation Area,37.709711330489604,-122.0558815591404,32416,Lake,0,0,0,0,1,0,0,0,0
107,Lake Merritt Walking Trail,37.80555,-122.25922,13444,Lake,0,0,0,0,1,0,0,0,0
108,Gondola Servizio,37.80239614,-122.26113512,13232,Lake,0,0,0,0,1,0,0,0,0
109,Kids Kingdom Playground,37.807430701167355,-122.25530625313925,13816,Lake,0,0,0,0,1,0,0,0,0
110,Isherwood Staging Area,37.572108470584055,-122.01272649978944,42512,Lake,0,0,0,0,1,0,0,0,0
111,Shoreline Aquatic Center,37.43275219871376,-122.08815135868463,48729,Lake,0,0,0,0,1,0,0,0,0
112,Lake District,37.78704151179793,-122.46564008499463,4852,Lake,0,0,0,0,1,0,0,0,0
113,Lake Merritt Overlook,37.79891511853333,-122.2602625878717,13268,Lake,0,0,0,0,1,0,0,0,0
114,Lakeshore,37.81121673835467,-122.2445807719537,14815,Lake,0,0,0,0,1,0,0,0,0
0,Baker Beach,37.793355016553285,-122.48373985290527,6467,Beach,1,0,0,0,0,0,0,0,0
1,Ocean Beach,37.76629738605173,-122.51062951266728,9144,Beach,1,0,0,0,0,0,0,0,0
2,Marshall's Beach,37.801898032470135,-122.47890126992444,6204,Beach,1,0,0,0,0,0,0,0,0
3,China Beach,37.788089862931265,-122.49118566513062,7098,Beach,1,0,0,0,0,0,0,0,0
4,Rodeo Beach,37.83049717427869,-122.53669738769533,12051,Beach,1,0,0,0,0,0,0,0,0
5,Muir Beach,37.859619743894704,-122.57519458315342,16515,Beach,1,0,0,0,0,0,0,0,0
6,Robert W. Crown Memorial State Beach,37.7591884283176,-122.26424396038055,13270,Beach,1,0,0,0,0,0,0,0,0
7,Stinson Beach,37.89758306612806,-122.6411156647251,23642,Beach,1,0,0,0,0,0,0,0,0
8,Pacifica State Beach,37.59963768241174,-122.50142097473145,22476,Beach,1,0,0,0,0,0,0,0,0
9,Hyde Beach,37.80733425573182,-122.42254257202148,2368,Beach,1,0,0,0,0,0,0,0,0
10,East Beach,37.80612209172951,-122.45320558547974,4248,Beach,1,0,0,0,0,0,0,0,0
11,Mile Rock Beach,37.787268336058766,-122.50629425554153,8428,Beach,1,0,0,0,0,0,0,0,0
12,West Beach Crissy Field,37.80663387318886,-122.46835470199584,5483,Beach,1,0,0,0,0,0,0,0,0
13,Kirby Cove,37.82719226278575,-122.49000549316408,8224,Beach,1,0,0,0,0,0,0,0,0
14,Aquatic Park,37.80671490887718,-122.42289324933841,2321,Beach,1,0,0,0,0,0,0,0,0
15,Montara State Beach,37.54582779142543,-122.51490712165833,28516,Beach,1,0,0,0,0,0,0,0,0
16,Black Sand Beach,37.82462792812186,-122.50915412311632,9572,Beach,1,0,0,0,0,0,0,0,0
17,Edge Of The Western World,37.741546607905164,-122.50683876928079,9947,Beach,1,0,0,0,0,0,0,0,0
18,Gray Whale Cove State Beach,37.56441204734022,-122.51332052515518,26518,Beach,1,0,0,0,0,0,0,0,0
19,Temescal Regional Park,37.847600705112136,-122.23220984418955,17011,Beach,1,0,0,0,0,0,0,0,0
20,Mission Dolores Park,37.75998998481965,-122.4271184206009,3474,Beach,1,0,0,0,0,0,0,0,0
21,Point Lobos,37.78105,-122.51421,9159,Beach,1,0,0,0,0,0,0,0,0
22,Pelican Beach,37.73499682316978,-122.50719795642343,10374,Beach,1,0,0,0,0,0,0,0,0
23,Tennessee Beach,37.84162809843803,-122.5520984587998,13795,Beach,1,0,0,0,0,0,0,0,0
24,Crissy Field,37.804341954682855,-122.46535062789917,5144,Beach,1,0,0,0,0,0,0,0,0
25,Crab Cove,37.76910914059176,-122.27773088774556,11875,Beach,1,0,0,0,0,0,0,0,0
26,Albany Bulb,37.88953114765932,-122.31875404717319,13857,Beach,1,0,0,0,0,0,0,0,0
27,Ocean Beach Trail,37.7478681660398,-122.50829279422761,9711,Beach,1,0,0,0,0,0,0,0,0
28,Pirates Cove,37.85403020160595,-122.56237646540437,15228,Beach,1,0,0,0,0,0,0,0,0
29,Thornton State Beach,37.69819529294958,-122.49573098638362,12525,Beach,1,0,0,0,0,0,0,0,0
30,Fort Funston,37.714986930252145,-122.50263342459404,11504,Beach,1,0,0,0,0,0,0,0,0
31,Batteries To Bluffs Trail,37.80001434735277,-122.47975409030914,6230,Beach,1,0,0,0,0,0,0,0,0
32,Keller Beach,37.911002017338255,-122.37719831669635,13969,Beach,1,0,0,0,0,0,0,0,0
33,Half Moon Bay State Beach,37.46717,-122.446884,35891,Beach,1,0,0,0,0,0,0,0,0
34,Rockaway Beach,37.610882844563676,-122.4966949224472,21158,Beach,1,0,0,0,0,0,0,0,0
35,Seeger Beach,37.729842,-122.506875,10690,Beach,1,0,0,0,0,0,0,0,0
36,Miramar Beach,37.49185985291694,-122.45824813842772,33266,Beach,1,0,0,0,0,0,0,0,0
37,South Shore Beach,37.75460163348428,-122.25130024979092,14502,Beach,1,0,0,0,0,0,0,0,0
38,Cowell Ranch Beach & Trailhead,37.42211055505695,-122.42631644010544,40787,Beach,1,0,0,0,0,0,0,0,0
39,Sharp Park Beach,37.62836344273224,-122.49480128288269,19289,Beach,1,0,0,0,0,0,0,0,0
40,Golden Gate Park,37.76973638665379,-122.48204941686708,6625,Beach,1,0,0,0,0,0,0,0,0
41,Mussel Rock Park,37.66620625697491,-122.49464777604625,15479,Beach,1,0,0,0,0,0,0,0,0
42,Alameda Beach,37.76092626065399,-122.26927955696185,12794,Beach,1,0,0,0,0,0,0,0,0
43,Coyote Point Beach,37.58967456176561,-122.32611179351805,23326,Beach,1,0,0,0,0,0,0,0,0
44,Lake Anza,37.895589,-122.251105,18411,Beach,1,0,0,0,0,0,0,0,0
45,"Sea Drift, Stinson Beach",37.90620037982175,-122.66089866349535,25626,Beach,1,0,0,0,0,0,0,0,0
46,Bolinas Beach,37.906735890688026,-122.68451186882724,27458,Beach,1,0,0,0,0,0,0,0,0
47,Tennessee Valley Trail,37.85782904744192,-122.53860712051392,13667,Beach,1,0,0,0,0,0,0,0,0
48,Point Emery Park,37.84619631308764,-122.29998580021234,11661,Beach,1,0,0,0,0,0,0,0,0
49,McNear's Beach,37.991922249455016,-122.452648131061,22967,Beach,1,0,0,0,0,0,0,0,0
50,Shelter Cove,37.59727028292145,-122.5137073179465,23127,Beach,1,0,0,0,0,0,0,0,0
51,Crab Cove Visitor Center,37.76893182609721,-122.27817720892399,11840,Beach,1,0,0,0,0,0,0,0,0
52,China Camp State Park,38.00632726106372,-122.49444881782223,25366,Beach,1,0,0,0,0,0,0,0,0
53,Surfer's Beach,37.49950385352887,-122.4683654308319,32550,Beach,1,0,0,0,0,0,0,0,0
54,Crissy Windsurf Launch,37.805742057813774,-122.45134884694589,4084,Beach,1,0,0,0,0,0,0,0,0
55,Java Beach Cafe,37.7603680246456,-122.5092716253621,9230,Beach,1,0,0,0,0,0,0,0,0
56,Berkeley Beach,37.8588882138289,-122.3016745246855,12381,Beach,1,0,0,0,0,0,0,0,0
57,Dunes Beach,37.48382499826313,-122.45242697745681,34094,Beach,1,0,0,0,0,0,0,0,0
58,Half Moon Bay Beach at Mirada,37.49496691858982,-122.4625825881958,32974,Beach,1,0,0,0,0,0,0,0,0
59,James V. Fitzgerald Marine Reserve,37.524128777882005,-122.5163153689583,30850,Beach,1,0,0,0,0,0,0,0,0
60,Venice Beach,37.48020145562883,-122.45006060464823,34474,Beach,1,0,0,0,0,0,0,0,0
61,Poplar State Beach,37.45529743677198,-122.44484782218933,37192,Beach,1,0,0,0,0,0,0,0,0
62,Sotto Mare Oysteria and Seafood Restaurant,37.799624753044924,-122.40835693948438,1274,Beach,1,0,0,0,0,0,0,0,0
63,Coastal Trail,37.83493019713665,-122.53884024006486,12423,Beach,1,0,0,0,0,0,0,0,0
64,Esplanade Beach,37.654349499947195,-122.49287371848331,16581,Beach,1,0,0,0,0,0,0,0,0
65,Foster City Beach On The Bay,37.57075896374043,-122.26924702954213,27226,Beach,1,0,0,0,0,0,0,0,0
66,Roosevelt Beach,37.48855537935421,-122.45460532009255,33592,Beach,1,0,0,0,0,0,0,0,0
67,Manhattan Beach,37.42987883543962,-122.43998765945435,39983,Beach,1,0,0,0,0,0,0,0,0
68,San Quentin Beach,37.941923461933904,-122.48223426674141,18226,Beach,1,0,0,0,0,0,0,0,0
69,Mavericks Beach,37.49808070074103,-122.49615653022285,33177,Beach,1,0,0,0,0,0,0,0,0
70,Redondo Beach,37.43905499509912,-122.44326745946826,38984,Beach,1,0,0,0,0,0,0,0,0
71,15 Romolo,37.79813384627597,-122.40637986504598,1153,Beach,1,0,0,0,0,0,0,0,0
72,Benicia Pier,38.045059409639215,-122.16226755903449,35946,Beach,1,0,0,0,0,0,0,0,0
73,The Jetty,37.50126345549698,-122.47159925834862,32403,Beach,1,0,0,0,0,0,0,0,0
74,Limantour Beach,37.944965800092604,-122.50366396730139,19266,Beach,1,0,0,0,0,0,0,0,0
75,Shorebird Park,37.86264615486329,-122.31583106949309,11738,Beach,1,0,0,0,0,0,0,0,0
76,Caffé Greco,37.799034844291626,-122.4083890485705,1209,Beach,1,0,0,0,0,0,0,0,0
77,Tunitas Beach,37.35658170883957,-122.39978671073912,48067,Beach,1,0,0,0,0,0,0,0,0
78,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,Beach,1,0,0,0,0,0,0,0,0
79,Beachside Coffee Bar & Kitchen,37.760416599983266,-122.50822543606135,9141,Beach,1,0,0,0,0,0,0,0,0
80,Martin's Beach,37.37508536067294,-122.40839123725891,45998,Beach,1,0,0,0,0,0,0,0,0
81,Marin Headlands,37.83331046947234,-122.49373912811278,8871,Beach,1,0,0,0,0,0,0,0,0
82,Coyote Point County Park,37.587625665977896,-122.32508182525635,23572,Beach,1,0,0,0,0,0,0,0,0
83,"The Ritz-Carlton, Half Moon Bay",37.433845470347855,-122.44144307605745,39551,Beach,1,0,0,0,0,0,0,0,0
84,The End of the Earth,37.7635644843513,-122.50983379955152,9163,Beach,1,0,0,0,0,0,0,0,0
85,Middle Beach,37.759219600266086,-122.50800992863067,9170,Beach,1,0,0,0,0,0,0,0,0
86,Quarry Lakes Niles Beach Area,37.58777197603941,-122.00240247539767,42316,Beach,1,0,0,0,0,0,0,0,0
87,Kelly's Cove,37.77623449045482,-122.51192805920552,9024,Beach,1,0,0,0,0,0,0,0,0
88,Bar Bocce,37.859645217707595,-122.48482187566397,10285,Beach,1,0,0,0,0,0,0,0,0
89,South Shore Beach & Tennis Club,37.76440062431563,-122.27019202639698,12628,Beach,1,0,0,0,0,0,0,0,0
90,Pacific Ocean,37.779358,-122.51585,9321,Beach,1,0,0,0,0,0,0,0,0
91,Seal Rock Inn,37.77971061011805,-122.50934389614109,8748,Beach,1,0,0,0,0,0,0,0,0
92,Lobos Valley Overlook,37.787979638314894,-122.47589707374573,5753,Beach,1,0,0,0,0,0,0,0,0
93,Vista 205 Beauty,37.3525618854547,-122.3990036820665,48516,Beach,1,0,0,0,0,0,0,0,0
94,Avenues San Francisco,37.74183435298139,-122.50480238934163,9778,Beach,1,0,0,0,0,0,0,0,0
95,Ballena Point,37.77103262374041,-122.28739909714332,11000,Beach,1,0,0,0,0,0,0,0,0
96,Parkside Cafe,37.897753129890724,-122.63976837505516,23551,Beach,1,0,0,0,0,0,0,0,0
97,Berry Sand Volleyball Court,37.771692,-122.397977,2152,Beach,1,0,0,0,0,0,0,0,0
98,757 Beach,37.806841418144046,-122.42331437843707,2351,Beach,1,0,0,0,0,0,0,0,0
99,Sunset state beach,37.804084525970694,-122.43278298882494,2632,Beach,1,0,0,0,0,0,0,0,0
100,The Presidio Of San Francisco,37.806677,-122.448637,3929,Beach,1,0,0,0,0,0,0,0,0
101,Clipper Cove Beach,37.81329306633966,-122.37089395523071,4458,Beach,1,0,0,0,0,0,0,0,0
102,Toxic Beach,37.754333609884796,-122.38307201318975,4485,Beach,1,0,0,0,0,0,0,0,0
103,Two Mile Surf Shop,37.90818343396018,-122.68704998364055,27731,Beach,1,0,0,0,0,0,0,0,0
104,Treasure Island Secret Beach,37.81209806594886,-122.36279377315411,4962,Beach,1,0,0,0,0,0,0,0,0
105,Carmel By The Sea,37.80736384386495,-122.47491037756765,6050,Beach,1,0,0,0,0,0,0,0,0
106,Quarry Beach,37.860772333839314,-122.41992891102126,8110,Beach,1,0,0,0,0,0,0,0,0
107,Cronkite Beach,37.838154783940475,-122.48358291183023,8491,Beach,1,0,0,0,0,0,0,0,0
108,Shell Beach,37.76976898060847,-122.5109334292663,9074,Beach,1,0,0,0,0,0,0,0,0
109,Swede's Beach,37.849202207626156,-122.48022784856828,9141,Beach,1,0,0,0,0,0,0,0,0
110,Starfish Fire Pit,37.76930921346743,-122.51165177406452,9147,Beach,1,0,0,0,0,0,0,0,0
111,Irving Dunes,37.76009295046746,-122.51139206536337,9416,Beach,1,0,0,0,0,0,0,0,0
112,Toll Plaza Beach,37.82487984225169,-122.3126588832286,9520,Beach,1,0,0,0,0,0,0,0,0
113,Rocky's Beach,37.85156133468494,-122.30010761074514,11992,Beach,1,0,0,0,0,0,0,0,0
114,GOLDEN GATE PARK SEGWAY RENTALS,37.7758367,-122.4907133,7192,Beach,1,0,0,0,0,0,0,0,0
115,Albany Beach,37.88905805601791,-122.30600734449207,14498,Beach,1,0,0,0,0,0,0,0,0
116,Acqua Beach,37.88965335237778,-122.51716076129694,14670,Beach,1,0,0,0,0,0,0,0,0
117,North Beach,37.79855296729771,-122.40731847728442,1175,Beach,1,0,0,0,0,0,0,0,0
118,BayFarm Beach,37.729314516958695,-122.24805966407973,15731,Beach,1,0,0,0,0,0,0,0,0
119,2801 Great Hwy Parking,37.734964,-122.507024,10363,Beach,1,0,0,0,0,0,0,0,0
120,Washington Park,37.77117703733877,-122.25753740778129,13592,Beach,1,0,0,0,0,0,0,0,0
121,Hula Hawaiian Shave Ice,37.75370847106555,-122.24828124572429,14784,Beach,1,0,0,0,0,0,0,0,0
122,Sand Ladder,37.79640456848644,-122.48070872916443,6241,Beach,1,0,0,0,0,0,0,0,0
123,Bubba Gump Shrimp Co.,37.8110504,-122.4104181,2532,Beach,1,0,0,0,0,0,0,0,0
124,Mickey's Beach,37.88935138191278,-122.63194300821863,22483,Beach,1,0,0,0,0,0,0,0,0
125,Tide Pools @ Linda Mar Beach,37.59643296746307,-122.50727891921996,22996,Beach,1,0,0,0,0,0,0,0,0
126,Stinson-Red Rocks Beach,37.89497642934278,-122.63852179544281,23298,Beach,1,0,0,0,0,0,0,0,0
127,Oceano Hotel & Spa,37.50394959415498,-122.48405606078309,32310,Beach,1,0,0,0,0,0,0,0,0
128,BayLink Ferry,38.00895187044783,-122.39237204843118,24614,Beach,1,0,0,0,0,0,0,0,0
129,Upper Kite Launch @ 3rd Ave,37.574480785682915,-122.28456974029541,26260,Beach,1,0,0,0,0,0,0,0,0
130,Warm Water Cove Park,37.754363215506096,-122.38336199175986,4469,Beach,1,0,0,0,0,0,0,0,0
131,Surfrider Pro/Am,37.598677132470016,-122.50262260437012,22614,Beach,1,0,0,0,0,0,0,0,0
132,Agate Beach,37.896988397608986,-122.70869321187718,28871,Beach,1,0,0,0,0,0,0,0,0
133,San Francisco Bay Front,37.56202572324037,-122.24905021249138,28927,Beach,1,0,0,0,0,0,0,0,0
134,Sandpiper Inn,37.897484545779555,-122.63836361681581,23430,Beach,1,0,0,0,0,0,0,0,0
135,The Cove on Castro,37.76196562256068,-122.43515377829809,3646,Beach,1,0,0,0,0,0,0,0,0
136,Seal Cove,37.5193146008514,-122.51401394605638,31302,Beach,1,0,0,0,0,0,0,0,0
137,Lower Point,37.501521126311296,-122.49322414398192,32746,Beach,1,0,0,0,0,0,0,0,0
138,Outer Sunset,37.75445488995902,-122.49622837511524,8432,Beach,1,0,0,0,0,0,0,0,0
139,Beach House Hotel Half Moon Bay,37.50207703049388,-122.47415471403943,32352,Beach,1,0,0,0,0,0,0,0,0
140,Elmar Beach,37.475368960611014,-122.44794845581055,34991,Beach,1,0,0,0,0,0,0,0,0
141,The Water,38.06430033503749,-122.17643150433982,36964,Beach,1,0,0,0,0,0,0,0,0
142,The Creamery,37.77737244366497,-122.39514999003865,1817,Beach,1,0,0,0,0,0,0,0,0
143,City of Pacifica,37.61485953404256,-122.48616960856276,20425,Beach,1,0,0,0,0,0,0,0,0
144,Gray Whale Cove Trail,37.558346,-122.51367,27164,Beach,1,0,0,0,0,0,0,0,0
145,The Great Highway,37.75278,-122.5089,9518,Beach,1,0,0,0,0,0,0,0,0
146,Foster City - SF Bay Trail,37.55722100499494,-122.25210345666962,29265,Beach,1,0,0,0,0,0,0,0,0
147,Coastal Ops,37.40619872059379,-122.4209976196289,42545,Beach,1,0,0,0,0,0,0,0,0
