,venue.name,venue.location.lat,venue.location.lng,venue.location.distance,venue_type,Beach,Ethiopian restaurant,Indian restaurant,Italian restaurant,Lake,Mexican restaurant,Scenic lookout,Thai restaurant,Waterfall
53,Hawk Hill,37.826989584370125,-122.49919743672497,8910,Scenic lookout,0,0,0,0,0,0,1,0,0
54,Fort Mason Great Meadow,37.80498194040014,-122.43005487797149,2531,Scenic lookout,0,0,0,0,0,0,1,0,0
55,Golden Gate Heights Park,37.7503220430415,-122.4686528820759,6637,Scenic lookout,0,0,0,0,0,0,1,0,0
56,Lands End,37.78315503056424,-122.51118555665016,8876,Scenic lookout,0,0,0,0,0,0,1,0,0
57,Muir Beach Overlook,37.86300922931121,-122.58564617884193,17502,Scenic lookout,0,0,0,0,0,0,1,0,0
58,The Clocktower Building,37.78377397892649,-122.39344630652968,1582,Scenic lookout,0,0,0,0,0,0,1,0,0
59,City View at Metreon,37.78437337616783,-122.40284915341124,802,Scenic lookout,0,0,0,0,0,0,1,0,0
60,Sutro Heights Park,37.777668670358395,-122.51079797744751,8903,Scenic lookout,0,0,0,0,0,0,1,0,0
61,Marin Headlands,37.83331046947234,-122.49373912811278,8871,Scenic lookout,0,0,0,0,0,0,1,0,0
62,Brannan Street Wharf,37.78439626788962,-122.38780250919531,2043,Scenic lookout,0,0,0,0,0,0,1,0,0
63,Tilden View Point,37.880384693878696,-122.24757064819194,17614,Scenic lookout,0,0,0,0,0,0,1,0,0
64,Twin Peaks Summit (South/Noe Peak),37.751579570617366,-122.44768023490906,5235,Scenic lookout,0,0,0,0,0,0,1,0,0
65,Sutro Baths,37.78042984007032,-122.51285084626193,9047,Scenic lookout,0,0,0,0,0,0,1,0,0
66,Mount Olympus,37.763306385544766,-122.44554251432419,4153,Scenic lookout,0,0,0,0,0,0,1,0,0
67,Kirby Cove,37.82719226278575,-122.49000549316408,8224,Scenic lookout,0,0,0,0,0,0,1,0,0
68,Agua Vista Park,37.76614132377395,-122.38613426685333,3268,Scenic lookout,0,0,0,0,0,0,1,0,0
69,Grizzly Peak,37.88126,-122.23146,18837,Scenic lookout,0,0,0,0,0,0,1,0,0
70,Municipal Pier,37.810491241769874,-122.42514962985862,2786,Scenic lookout,0,0,0,0,0,0,1,0,0
71,Pemberton Steps,37.758293558681466,-122.44692653417586,4629,Scenic lookout,0,0,0,0,0,0,1,0,0
72,Treasure Island,37.824090595823414,-122.37070083618163,5303,Scenic lookout,0,0,0,0,0,0,1,0,0
73,Twin Peaks Summit (North/Eureka Peak),37.75315314996302,-122.44729936122896,5078,Scenic lookout,0,0,0,0,0,0,1,0,0
74,Yerba Buena Island,37.80999813154709,-122.36632412676066,4575,Scenic lookout,0,0,0,0,0,0,1,0,0
75,Crissy Field Fishing Pier,37.808541273286345,-122.4706733797899,5752,Scenic lookout,0,0,0,0,0,0,1,0,0
76,Pier 24,37.78939347293482,-122.38823955602722,1962,Scenic lookout,0,0,0,0,0,0,1,0,0
77,22nd Street Jungle Stairs,37.7543816767982,-122.43614387925199,4398,Scenic lookout,0,0,0,0,0,0,1,0,0
78,Broadway Jones Overlook,37.796897,-122.414488,1019,Scenic lookout,0,0,0,0,0,0,1,0,0
79,"East Peak, Mount Tamalpais",37.927426288831626,-122.57956917400487,21463,Scenic lookout,0,0,0,0,0,0,1,0,0
80,Blue Tower,37.720357064869596,-122.42572477791916,7681,Scenic lookout,0,0,0,0,0,0,1,0,0
81,San Bruno Mountain State Park,37.69678329574692,-122.43458940162556,10405,Scenic lookout,0,0,0,0,0,0,1,0,0
82,Lake Merritt Amphitheater,37.79903732047991,-122.2608152578822,13221,Scenic lookout,0,0,0,0,0,0,1,0,0
83,Pacific Ocean,37.779358,-122.51585,9321,Scenic lookout,0,0,0,0,0,0,1,0,0
84,Broadway & Divisadero,37.793342965241536,-122.44165983824956,2798,Scenic lookout,0,0,0,0,0,0,1,0,0
85,The Living Roof,37.769801627279755,-122.46648467196364,5338,Scenic lookout,0,0,0,0,0,0,1,0,0
86,Paradise Beach Park,37.89361567838452,-122.45757973503747,12432,Scenic lookout,0,0,0,0,0,0,1,0,0
87,Balboa Natural Area / La Playa Stairs,37.780137027454685,-122.5092154478648,8732,Scenic lookout,0,0,0,0,0,0,1,0,0
88,Tennessee Point,37.834623005505904,-122.54915122961856,13239,Scenic lookout,0,0,0,0,0,0,1,0,0
89,Starr King Open Space,37.75350921443473,-122.40018295639216,3977,Scenic lookout,0,0,0,0,0,0,1,0,0
90,Douglass Steps,37.75736758449066,-122.4395462360707,4288,Scenic lookout,0,0,0,0,0,0,1,0,0
91,Southeast Side Vista Point,37.807744365548366,-122.47484957331918,6060,Scenic lookout,0,0,0,0,0,0,1,0,0
92,Uranus Terrace,37.76111384571172,-122.44556665420534,4321,Scenic lookout,0,0,0,0,0,0,1,0,0
93,Saturn Street Steps Park,37.76275719646505,-122.44059652090073,3885,Scenic lookout,0,0,0,0,0,0,1,0,0
94,Slacker Ridge,37.83494952132285,-122.48950896300585,8674,Scenic lookout,0,0,0,0,0,0,1,0,0
95,Pacific Coast Highway,37.64730107432858,-122.49131441116333,17233,Scenic lookout,0,0,0,0,0,0,1,0,0
96,Oakland Hills,37.84918861820868,-122.22199291560767,17908,Scenic lookout,0,0,0,0,0,0,1,0,0
97,Sutro's at Cliff House,37.77856667677347,-122.5139507649399,9165,Scenic lookout,0,0,0,0,0,0,1,0,0
98,Mori Point,37.619109520385095,-122.49182939529419,20150,Scenic lookout,0,0,0,0,0,0,1,0,0
99,Devil's Slide Gun Turret,37.568166441011144,-122.51657165443144,26226,Scenic lookout,0,0,0,0,0,0,1,0,0
100,Golden Gate Park Chinese Pavilion,37.7684786779139,-122.47337367752381,5955,Scenic lookout,0,0,0,0,0,0,1,0,0
101,"Pantoll Trailhead, Mt Tamalpais State Park",37.90384547759446,-122.60422802320437,21341,Scenic lookout,0,0,0,0,0,0,1,0,0
102,Moore Road Pier,37.83130755511133,-122.4769131668496,7552,Scenic lookout,0,0,0,0,0,0,1,0,0
103,Top of the Larkin Street Stairs,37.80350744703899,-122.42164649034832,1956,Scenic lookout,0,0,0,0,0,0,1,0,0
104,Mt. Tam West Peak,37.92491285719282,-122.59526982669821,22248,Scenic lookout,0,0,0,0,0,0,1,0,0
105,Black Point Battery,37.807783514259285,-122.42842197418213,2681,Scenic lookout,0,0,0,0,0,0,1,0,0
106,Tennessee Valley,37.86048036087454,-122.53588199615477,13642,Scenic lookout,0,0,0,0,0,0,1,0,0
107,Geneva Ave.,37.71394767922382,-122.43601054734188,8575,Scenic lookout,0,0,0,0,0,0,1,0,0
108,Bayfront Park,37.60374775608278,-122.37365006364335,20798,Scenic lookout,0,0,0,0,0,0,1,0,0
109,Battery Chamberlin,37.793707298361674,-122.48273171982697,6382,Scenic lookout,0,0,0,0,0,0,1,0,0
110,San Francisco Bay Trail (Bayfront Park),37.60518397824248,-122.37638175487517,20604,Scenic lookout,0,0,0,0,0,0,1,0,0
111,One Kearny Rooftop,37.78768,-122.403878,586,Scenic lookout,0,0,0,0,0,0,1,0,0
112,Site of Discovery of San Francisco Bay,37.60456373878427,-122.45784258686459,20874,Scenic lookout,0,0,0,0,0,0,1,0,0
113,Sutro Tower,37.75536,-122.45289,5230,Scenic lookout,0,0,0,0,0,0,1,0,0
114,Vallejo Street Garage,37.798486810991726,-122.40975956234908,1135,Scenic lookout,0,0,0,0,0,0,1,0,0
115,Mount.Tamalpais (Gardner Lookout),37.92912724275266,-122.57774981184392,21490,Scenic lookout,0,0,0,0,0,0,1,0,0
116,"Bay Trail, San Leandro",37.67854200352777,-122.16145259036571,25100,Scenic lookout,0,0,0,0,0,0,1,0,0
117,Ryder Park,37.574906319510355,-122.3065744420163,25458,Scenic lookout,0,0,0,0,0,0,1,0,0
118,Vista Point At Highway 92 And 35,37.49497117475552,-122.36822783946991,32864,Scenic lookout,0,0,0,0,0,0,1,0,0
119,Sign Hill Park,37.665664015957944,-122.41998421660678,13677,Scenic lookout,0,0,0,0,0,0,1,0,0
120,McNee Ranch State Park,37.55386177713541,-122.50772953033449,27467,Scenic lookout,0,0,0,0,0,0,1,0,0
121,Devil's Slide Coastal Trail,37.57226372252469,-122.5164311950566,25796,Scenic lookout,0,0,0,0,0,0,1,0,0
122,Benicia Pier,38.045059409639215,-122.16226755903449,35946,Scenic lookout,0,0,0,0,0,0,1,0,0
123,Top of Camino Alto,37.91427378400488,-122.52944469451906,17491,Scenic lookout,0,0,0,0,0,0,1,0,0
124,San Rafael Bay,37.97924535396697,-122.47571741242227,22014,Scenic lookout,0,0,0,0,0,0,1,0,0
125,Pillar Point Harbor,37.503436740943975,-122.48199659387477,32330,Scenic lookout,0,0,0,0,0,0,1,0,0
126,Mt. Davidson Cross,37.73834821373442,-122.45466802563172,6784,Scenic lookout,0,0,0,0,0,0,1,0,0
127,Vista Point - Carquinez Bridge - Al Zampa Memorial Bridge,38.05559329825077,-122.23350048065187,33569,Scenic lookout,0,0,0,0,0,0,1,0,0
128,South SF Bayview Trail,37.654881416392215,-122.3803060439133,15088,Scenic lookout,0,0,0,0,0,0,1,0,0
129,Camera Obscura & Holograph Gallery,37.77829681593432,-122.51421205451821,9192,Scenic lookout,0,0,0,0,0,0,1,0,0
130,Anza Vista,37.77972063024766,-122.44206540753626,2936,Scenic lookout,0,0,0,0,0,0,1,0,0
131,Battery Godfrey,37.803397017309756,-122.4770108662386,6087,Scenic lookout,0,0,0,0,0,0,1,0,0
132,Montara Mountain Middle Peak,37.53902906278604,-122.50482571948116,28966,Scenic lookout,0,0,0,0,0,0,1,0,0
133,USS San Francisco Memorial,37.78282405938016,-122.5114978810174,8906,Scenic lookout,0,0,0,0,0,0,1,0,0
134,Diablo Valley Overlook,37.87651149185213,-121.931177442962,43271,Scenic lookout,0,0,0,0,0,0,1,0,0
135,Eastshore Footbridge,37.86416335373148,-122.30293948483833,12679,Scenic lookout,0,0,0,0,0,0,1,0,0
136,Alpine Dam,37.94056915926411,-122.63861436564406,26252,Scenic lookout,0,0,0,0,0,0,1,0,0
137,Sequoia Bridge To Quarry Lakes,37.565682432514315,-122.00363575327351,43578,Scenic lookout,0,0,0,0,0,0,1,0,0
138,Mount Diablo Summit,37.88175529010022,-121.91438336476084,44840,Scenic lookout,0,0,0,0,0,0,1,0,0
139,Ralph D. Percival Memorial Vista Point,37.478277641707066,-122.29729708422953,35925,Scenic lookout,0,0,0,0,0,0,1,0,0
140,Mare Island,38.096838162949524,-122.27543384565772,36335,Scenic lookout,0,0,0,0,0,0,1,0,0
141,Montara Mountain North Peak,37.56138445427077,-122.47766223022538,25943,Scenic lookout,0,0,0,0,0,0,1,0,0
142,The Bay Area,38.008277,-122.086077,37573,Scenic lookout,0,0,0,0,0,0,1,0,0
143,Dinosaur Hill Park,37.93612538999226,-122.08992719650269,32627,Scenic lookout,0,0,0,0,0,0,1,0,0
144,Quintara Stairs,37.7488246658239,-122.47124344110489,6919,Scenic lookout,0,0,0,0,0,0,1,0,0
145,Olompali State Park,38.15185427681278,-122.5714588165283,42864,Scenic lookout,0,0,0,0,0,0,1,0,0
146,The Wave Organ,37.80857602162009,-122.440167313174,3450,Scenic lookout,0,0,0,0,0,0,1,0,0
147,Observation Deck,37.618672,-122.393387,18942,Scenic lookout,0,0,0,0,0,0,1,0,0
148,Sky Deck & Spirits in the Sky,37.79253978836316,-122.40048581096002,999,Scenic lookout,0,0,0,0,0,0,1,0,0
149,Newhall Park Vietnam Memorial,37.95247655400439,-121.99232076892375,41041,Scenic lookout,0,0,0,0,0,0,1,0,0
150,East 18th Street Pier,37.800184686814085,-122.25444657045809,13790,Scenic lookout,0,0,0,0,0,0,1,0,0
151,Battery Crosby,37.798351465987956,-122.48044203411625,6253,Scenic lookout,0,0,0,0,0,0,1,0,0
152,Lands End Coastal Trail,37.78418314781439,-122.50902235507965,8679,Scenic lookout,0,0,0,0,0,0,1,0,0
153,Inspiration Point,37.905582128883765,-122.24408569410542,19607,Scenic lookout,0,0,0,0,0,0,1,0,0
154,Mills Creek Canyon Park,37.578510324738104,-122.3902587994863,23421,Scenic lookout,0,0,0,0,0,0,1,0,0
155,Skeggs Point,37.41084544149501,-122.30594595167925,43017,Scenic lookout,0,0,0,0,0,0,1,0,0
156,Vista Point,38.08680716165734,-122.11236150683709,42300,Scenic lookout,0,0,0,0,0,0,1,0,0
157,Iron Triangle,37.94068072991356,-122.37085054906798,17317,Scenic lookout,0,0,0,0,0,0,1,0,0
158,The Landing Café,37.752983144207825,-122.13977420821791,24144,Scenic lookout,0,0,0,0,0,0,1,0,0
159,Gate Vista Point,37.493464476945235,-122.31090903282166,33974,Scenic lookout,0,0,0,0,0,0,1,0,0
160,Sky Terrace - Westfield Mall,37.78451863796338,-122.40626465144256,562,Scenic lookout,0,0,0,0,0,0,1,0,0
161,NEMA Sky Terrace,37.775681609581746,-122.41671708790727,1507,Scenic lookout,0,0,0,0,0,0,1,0,0
162,Bay View Walk,37.80112244318658,-122.39857878039643,1771,Scenic lookout,0,0,0,0,0,0,1,0,0
163,San Francisco Point of Embarkation,37.807321,-122.429529,2699,Scenic lookout,0,0,0,0,0,0,1,0,0
164,Central & Fulton,37.7762511062032,-122.44442694473481,3272,Scenic lookout,0,0,0,0,0,0,1,0,0
165,Beaver Street Wall,37.76542260841748,-122.43549628282813,3364,Scenic lookout,0,0,0,0,0,0,1,0,0
166,Cumberland stairs,37.758613915342174,-122.43203460875223,3809,Scenic lookout,0,0,0,0,0,0,1,0,0
167,Wind Turbines at Crissy Field,37.805974948628624,-122.44940818404777,3947,Scenic lookout,0,0,0,0,0,0,1,0,0
168,The Sanchez Throne,37.75589684090051,-122.42935256226352,3970,Scenic lookout,0,0,0,0,0,0,1,0,0
169,Corbett Slope,37.76015557078295,-122.44462485145546,4339,Scenic lookout,0,0,0,0,0,0,1,0,0
170,Portola Drive Lookout,37.75298341033597,-122.44457129843651,4944,Scenic lookout,0,0,0,0,0,0,1,0,0
171,THE Stairs,37.743298974907646,-122.40839152923758,5012,Scenic lookout,0,0,0,0,0,0,1,0,0
172,Market St Overlook,37.749355012661866,-122.44374080020863,5229,Scenic lookout,0,0,0,0,0,0,1,0,0
173,City view place,37.748057017500756,-122.44441975842673,5383,Scenic lookout,0,0,0,0,0,0,1,0,0
174,Fort Baker jetty,37.83199596842217,-122.4778303729093,7663,Scenic lookout,0,0,0,0,0,0,1,0,0
175,Dead Man's Point,37.78787239236457,-122.49971798766963,7848,Scenic lookout,0,0,0,0,0,0,1,0,0
176,The View at Monterey,37.72824037441679,-122.46203615126224,8079,Scenic lookout,0,0,0,0,0,0,1,0,0
177,100 Montgomery,37.790118607033016,-122.4020983473183,766,Scenic lookout,0,0,0,0,0,0,1,0,0
178,Harbor View,37.85957341480297,-122.50114686924172,11246,Scenic lookout,0,0,0,0,0,0,1,0,0
179,Waller St Steps,37.77011471921248,-122.43889600038528,3215,Scenic lookout,0,0,0,0,0,0,1,0,0
180,The Wheel,37.679843,-122.403893,12087,Scenic lookout,0,0,0,0,0,0,1,0,0
181,Strawberry Point,37.87810134721944,-122.49667343237313,12543,Scenic lookout,0,0,0,0,0,0,1,0,0
182,San Andreas Fault Line,37.673282777518985,-122.47608889995396,14045,Scenic lookout,0,0,0,0,0,0,1,0,0
183,15th Ave Steps,37.76109969748347,-122.47351009405432,6317,Scenic lookout,0,0,0,0,0,0,1,0,0
184,Mount Staircase,37.75423258059319,-122.47153848409651,6574,Scenic lookout,0,0,0,0,0,0,1,0,0
185,Edgehill Mountain,37.74145564817923,-122.45791464319146,6678,Scenic lookout,0,0,0,0,0,0,1,0,0
186,Broadway Terrace,37.84467609335226,-122.2316229270867,16936,Scenic lookout,0,0,0,0,0,0,1,0,0
187,SkyTerrace,37.617327,-122.383568,19179,Scenic lookout,0,0,0,0,0,0,1,0,0
188,Peace Grove Look-Out,37.91925493317465,-122.2622297184923,19553,Scenic lookout,0,0,0,0,0,0,1,0,0
189,98th and doolittle,37.731599397820034,-122.19000053139735,20406,Scenic lookout,0,0,0,0,0,0,1,0,0
190,Top of Hillside,37.58076519972198,-122.40464133084842,23108,Scenic lookout,0,0,0,0,0,0,1,0,0
191,Hillside Drive,37.5806751677561,-122.37556077313204,23316,Scenic lookout,0,0,0,0,0,0,1,0,0
192,Mare Island Causeway Bridge,38.1106536921969,-122.2752571105957,37796,Scenic lookout,0,0,0,0,0,0,1,0,0
193,Red Rock Island,37.934278796214954,-122.43115534745922,16351,Scenic lookout,0,0,0,0,0,0,1,0,0
194,The Overpass,37.721024943358366,-122.13418916645742,25445,Scenic lookout,0,0,0,0,0,0,1,0,0
195,Clark Kerr Track,37.86519321014441,-122.24679969369741,16746,Scenic lookout,0,0,0,0,0,0,1,0,0
196,Vollmer Peak Trail,37.88179522655224,-122.22235861427497,19542,Scenic lookout,0,0,0,0,0,0,1,0,0
197,Corte Madera Creek,37.94548134415164,-122.52544855764882,20203,Scenic lookout,0,0,0,0,0,0,1,0,0
198,Mt Tamalpais Fire Lookout,37.929145455307655,-122.57779332803426,21494,Scenic lookout,0,0,0,0,0,0,1,0,0
199,Top Of Reliez Valley,37.9245465535486,-122.10964696217258,30483,Scenic lookout,0,0,0,0,0,0,1,0,0
200,Ecology Trail,37.79311144033848,-122.45820446200487,4230,Scenic lookout,0,0,0,0,0,0,1,0,0
201,The Blue Lady Bluff,37.517155269844906,-122.51341044902803,31516,Scenic lookout,0,0,0,0,0,0,1,0,0
202,Len Turner Memorial Vista Point,37.51120680078978,-122.32235442820186,31809,Scenic lookout,0,0,0,0,0,0,1,0,0
203,Pillar Point Bluff,37.506261928373384,-122.50333070755003,32444,Scenic lookout,0,0,0,0,0,0,1,0,0
204,Orinda Oaks Open Space Preserve,37.85994671759408,-122.14681148529053,24519,Scenic lookout,0,0,0,0,0,0,1,0,0
205,Vista Point,38.055680216666666,-122.23784029483795,33403,Scenic lookout,0,0,0,0,0,0,1,0,0
206,The Rim Trail,37.88490459434162,-122.13977881353513,26117,Scenic lookout,0,0,0,0,0,0,1,0,0
207,Candy Cane Lane,37.46200163544936,-122.24118962737889,39270,Scenic lookout,0,0,0,0,0,0,1,0,0
208,The Hill Of God,37.69830407303599,-121.95427395337511,41390,Scenic lookout,0,0,0,0,0,0,1,0,0
209,Livermore Valley Overlook,37.862228893382394,-121.93082547175005,42972,Scenic lookout,0,0,0,0,0,0,1,0,0
210,Napa Valley Wine Country,38.213719,-122.253975,49307,Scenic lookout,0,0,0,0,0,0,1,0,0
211,Hamm's Gulch Lookout,37.36059631396868,-122.24203800679183,49877,Scenic lookout,0,0,0,0,0,0,1,0,0
212,Adobe Creek Bridge,37.42059386775525,-122.1135225892067,48594,Scenic lookout,0,0,0,0,0,0,1,0,0
213,The Secret Shed,37.669855,-122.496069,15185,Scenic lookout,0,0,0,0,0,0,1,0,0
214,Top of Cherry Blossom Hill,37.835509,-122.232318,16527,Scenic lookout,0,0,0,0,0,0,1,0,0
0,Huntington Falls,37.768829615754555,-122.47371639675822,5969,Waterfall,0,0,0,0,0,0,0,0,1
1,Prayerbook Falls,37.77139016410644,-122.47783437618061,6216,Waterfall,0,0,0,0,0,0,0,0,1
2,Yerba Buena Gardens,37.784809,-122.402549,800,Waterfall,0,0,0,0,0,0,0,0,1
3,Stow Lake,37.769529936552026,-122.47484404565844,6034,Waterfall,0,0,0,0,0,0,0,0,1
4,Cataract Falls,37.924375079116786,-122.61472137389539,23486,Waterfall,0,0,0,0,0,0,0,0,1
5,Alamere Falls,37.953842256492024,-122.78341770172119,37595,Waterfall,0,0,0,0,0,0,0,0,1
6,Alamere Falls,37.95422,-122.783765,37643,Waterfall,0,0,0,0,0,0,0,0,1
7,Cascade Falls,37.91252571900796,-122.56478447067339,19368,Waterfall,0,0,0,0,0,0,0,0,1
8,Golden Gate Park Chinese Pavilion,37.7684786779139,-122.47337367752381,5955,Waterfall,0,0,0,0,0,0,0,0,1
9,Piedmont Park,37.82388531701379,-122.23150067460436,16234,Waterfall,0,0,0,0,0,0,0,0,1
10,Golden Gate Park,37.76973638665379,-122.48204941686708,6625,Waterfall,0,0,0,0,0,0,0,0,1
11,Newhall Community Park,37.954658202626064,-121.97637349336163,42405,Waterfall,0,0,0,0,0,0,0,0,1
12,Temescal Waterfall,37.847393,-122.230511,17140,Waterfall,0,0,0,0,0,0,0,0,1
13,Tamalpais Path,37.886853410576144,-122.26168905566745,17073,Waterfall,0,0,0,0,0,0,0,0,1
14,Jackson Aiden,37.49756739062548,-122.24766254425049,35404,Waterfall,0,0,0,0,0,0,0,0,1
15,Waterfall,37.77177461797189,-121.94003658292401,41433,Waterfall,0,0,0,0,0,0,0,0,1
16,Embarcadero Center Walkway,37.7950241332574,-122.39560822440582,1508,Waterfall,0,0,0,0,0,0,0,0,1
17,Ignacio Valley Open Space Preserve,38.06478274000543,-122.57359309551791,33946,Waterfall,0,0,0,0,0,0,0,0,1
0,Stow Lake,37.769529936552026,-122.47484404565844,6034,Lake,0,0,0,0,1,0,0,0,0
1,Golden Gate Park,37.76973638665379,-122.48204941686708,6625,Lake,0,0,0,0,1,0,0,0,0
2,Lake Anza,37.895589,-122.251105,18411,Lake,0,0,0,0,1,0,0,0,0
3,Pine Lake Park,37.736825612699306,-122.48883361808817,8964,Lake,0,0,0,0,1,0,0,0,0
4,Lake Chabot Regional Park,37.715639373008926,-122.10261997422762,28279,Lake,0,0,0,0,1,0,0,0,0
