,Cluster Labels,venue_lat,venue_lng,distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Thai_restaurant,Waterfall
165,1,37.77992121386115,-122.38774326797153,2208,0,0,0,0,0,0,0,1,0
165,1,37.77992121386115,-122.38774326797153,2208,0,0,1,0,0,0,0,0,0
165,1,37.77992121386115,-122.38774326797153,2208,0,0,0,0,0,1,0,0,0
165,1,37.77992121386115,-122.38774326797153,2208,1,0,0,0,0,0,0,0,0
165,1,37.77992121386115,-122.38774326797153,2208,0,1,0,0,0,0,0,0,0
165,1,37.77992121386115,-122.38774326797153,2208,0,0,0,1,0,0,0,0,0
176,1,37.80634592585518,-122.42275001733996,2279,0,0,0,0,0,1,0,0,0
176,1,37.80634592585518,-122.42275001733996,2279,0,0,0,0,0,0,0,1,0
176,1,37.80634592585518,-122.42275001733996,2279,0,0,1,0,0,0,0,0,0
176,1,37.80634592585518,-122.42275001733996,2279,0,1,0,0,0,0,0,0,0
176,1,37.80634592585518,-122.42275001733996,2279,0,0,0,1,0,0,0,0,0
176,1,37.80634592585518,-122.42275001733996,2279,1,0,0,0,0,0,0,0,0
14,1,37.80671490887718,-122.42289324933841,2321,0,0,0,1,0,0,0,0,0
14,1,37.80671490887718,-122.42289324933841,2321,0,0,0,0,0,1,0,0,0
14,1,37.80671490887718,-122.42289324933841,2321,0,1,0,0,0,0,0,0,0
14,1,37.80671490887718,-122.42289324933841,2321,0,0,0,0,0,0,0,1,0
14,1,37.80671490887718,-122.42289324933841,2321,1,0,0,0,0,0,0,0,0
14,1,37.80671490887718,-122.42289324933841,2321,0,0,1,0,0,0,0,0,0
164,1,37.80880771718759,-122.41563030758492,2327,0,0,0,1,0,0,0,0,0
164,1,37.80880771718759,-122.41563030758492,2327,1,0,0,0,0,0,0,0,0
164,1,37.80880771718759,-122.41563030758492,2327,0,0,0,0,0,0,0,1,0
164,1,37.80880771718759,-122.41563030758492,2327,0,0,1,0,0,0,0,0,0
164,1,37.80880771718759,-122.41563030758492,2327,0,1,0,0,0,0,0,0,0
164,1,37.80880771718759,-122.41563030758492,2327,0,0,0,0,0,1,0,0,0
98,1,37.806841418144046,-122.42331437843707,2351,0,1,0,0,0,0,0,0,0
98,1,37.806841418144046,-122.42331437843707,2351,0,0,0,0,0,1,0,0,0
98,1,37.806841418144046,-122.42331437843707,2351,0,0,0,1,0,0,0,0,0
98,1,37.806841418144046,-122.42331437843707,2351,0,0,1,0,0,0,0,0,0
98,1,37.806841418144046,-122.42331437843707,2351,0,0,0,0,0,0,0,1,0
98,1,37.806841418144046,-122.42331437843707,2351,1,0,0,0,0,0,0,0,0
9,1,37.80733425573182,-122.42254257202148,2368,0,0,0,0,0,1,0,0,0
9,1,37.80733425573182,-122.42254257202148,2368,0,0,1,0,0,0,0,0,0
9,1,37.80733425573182,-122.42254257202148,2368,1,0,0,0,0,0,0,0,0
9,1,37.80733425573182,-122.42254257202148,2368,0,1,0,0,0,0,0,0,0
9,1,37.80733425573182,-122.42254257202148,2368,0,0,0,1,0,0,0,0,0
9,1,37.80733425573182,-122.42254257202148,2368,0,0,0,0,0,0,0,1,0
0,1,37.8110018095408,-122.41075076252426,2527,0,0,0,0,0,0,1,0,0
54,1,37.80498194040014,-122.43005487797149,2531,0,0,0,0,0,0,1,0,0
123,1,37.8110504,-122.4104181,2532,0,0,1,0,0,0,0,0,0
123,1,37.8110504,-122.4104181,2532,1,0,0,0,0,0,0,0,0
123,1,37.8110504,-122.4104181,2532,0,0,0,1,0,0,0,0,0
123,1,37.8110504,-122.4104181,2532,0,0,0,0,0,1,0,0,0
123,1,37.8110504,-122.4104181,2532,0,0,0,0,0,0,0,1,0
123,1,37.8110504,-122.4104181,2532,0,1,0,0,0,0,0,0,0
99,1,37.804084525970694,-122.43278298882494,2632,0,0,0,0,0,0,0,1,0
99,1,37.804084525970694,-122.43278298882494,2632,0,0,1,0,0,0,0,0,0
99,1,37.804084525970694,-122.43278298882494,2632,0,0,0,1,0,0,0,0,0
99,1,37.804084525970694,-122.43278298882494,2632,0,0,0,0,0,1,0,0,0
99,1,37.804084525970694,-122.43278298882494,2632,0,1,0,0,0,0,0,0,0
99,1,37.804084525970694,-122.43278298882494,2632,1,0,0,0,0,0,0,0,0
105,1,37.807783514259285,-122.42842197418213,2681,0,0,0,0,0,0,1,0,0
163,1,37.807321,-122.429529,2699,0,0,0,0,0,0,1,0,0
42,1,37.810496182905986,-122.42446721131131,2759,0,0,0,0,0,0,1,0,0
70,1,37.810491241769874,-122.42514962985862,2786,0,0,0,0,0,0,1,0,0
84,1,37.793342965241536,-122.44165983824956,2798,0,0,0,0,0,0,1,0,0
130,1,37.77972063024766,-122.44206540753626,2936,0,0,0,0,0,0,1,0,0
179,1,37.77011471921248,-122.43889600038528,3215,0,0,0,0,0,0,1,0,0
2,1,37.79354365639975,-122.44655907154083,3225,0,0,0,0,0,0,1,0,0
68,1,37.76614132377395,-122.38613426685333,3268,0,0,0,0,0,0,1,0,0
164,1,37.7762511062032,-122.44442694473481,3272,0,0,0,0,0,0,1,0,0
165,1,37.76542260841748,-122.43549628282813,3364,0,0,0,0,0,0,1,0,0
38,1,37.768497022617865,-122.44062775550447,3447,0,0,0,0,0,0,1,0,0
146,1,37.80857602162009,-122.440167313174,3450,0,0,0,0,0,0,1,0,0
20,1,37.75998998481965,-122.4271184206009,3474,0,1,0,0,0,0,0,0,0
20,1,37.75998998481965,-122.4271184206009,3474,0,0,0,0,0,0,0,1,0
20,1,37.75998998481965,-122.4271184206009,3474,1,0,0,0,0,0,0,0,0
20,1,37.75998998481965,-122.4271184206009,3474,0,0,1,0,0,0,0,0,0
30,1,37.75998998481965,-122.4271184206009,3474,0,0,0,0,0,0,1,0,0
20,1,37.75998998481965,-122.4271184206009,3474,0,0,0,1,0,0,0,0,0
20,1,37.75998998481965,-122.4271184206009,3474,0,0,0,0,0,1,0,0,0
11,1,37.767875091258176,-122.4414987623464,3550,0,0,0,0,0,0,1,0,0
45,1,37.75730833758727,-122.3999085244793,3573,0,0,0,0,0,0,1,0,0
32,1,37.7650225313372,-122.43883066273017,3595,0,0,0,0,0,0,1,0,0
36,1,37.802501824698986,-122.44722973327524,3596,0,0,0,0,1,0,0,0,0
10,1,37.76499750972105,-122.43924241317987,3622,0,0,0,0,0,0,1,0,0
17,1,37.77237695730286,-122.44657516479494,3635,0,0,0,0,1,0,0,0,0
135,1,37.76196562256068,-122.43515377829809,3646,1,0,0,0,0,0,0,0,0
135,1,37.76196562256068,-122.43515377829809,3646,0,1,0,0,0,0,0,0,0
135,1,37.76196562256068,-122.43515377829809,3646,0,0,0,0,0,0,0,1,0
135,1,37.76196562256068,-122.43515377829809,3646,0,0,0,1,0,0,0,0,0
135,1,37.76196562256068,-122.43515377829809,3646,0,0,0,0,0,1,0,0,0
135,1,37.76196562256068,-122.43515377829809,3646,0,0,1,0,0,0,0,0,0
166,1,37.758613915342174,-122.43203460875223,3809,0,0,0,0,0,0,1,0,0
43,1,37.76346753677887,-122.44115442037582,3862,0,0,0,0,0,0,1,0,0
93,1,37.76275719646505,-122.44059652090073,3885,0,0,0,0,0,0,1,0,0
100,1,37.806677,-122.448637,3929,0,0,0,0,0,1,0,0,0
100,1,37.806677,-122.448637,3929,0,0,1,0,0,0,0,0,0
100,1,37.806677,-122.448637,3929,0,0,0,0,0,0,0,1,0
100,1,37.806677,-122.448637,3929,0,1,0,0,0,0,0,0,0
100,1,37.806677,-122.448637,3929,0,0,0,1,0,0,0,0,0
100,1,37.806677,-122.448637,3929,1,0,0,0,0,0,0,0,0
167,1,37.805974948628624,-122.44940818404777,3947,0,0,0,0,0,0,1,0,0
168,1,37.75589684090051,-122.42935256226352,3970,0,0,0,0,0,0,1,0,0
89,1,37.75350921443473,-122.40018295639216,3977,0,0,0,0,0,0,1,0,0
54,1,37.805742057813774,-122.45134884694589,4084,0,1,0,0,0,0,0,0,0
54,1,37.805742057813774,-122.45134884694589,4084,0,0,1,0,0,0,0,0,0
54,1,37.805742057813774,-122.45134884694589,4084,0,0,0,1,0,0,0,0,0
54,1,37.805742057813774,-122.45134884694589,4084,0,0,0,0,0,0,0,1,0
54,1,37.805742057813774,-122.45134884694589,4084,0,0,0,0,0,1,0,0,0
54,1,37.805742057813774,-122.45134884694589,4084,1,0,0,0,0,0,0,0,0
66,1,37.763306385544766,-122.44554251432419,4153,0,0,0,0,0,0,1,0,0
8,1,37.79220658139526,-122.45831688465272,4228,0,0,0,0,0,0,1,0,0
200,1,37.79311144033848,-122.45820446200487,4230,0,0,0,0,0,0,1,0,0
10,1,37.80612209172951,-122.45320558547974,4248,0,0,0,0,0,1,0,0,0
10,1,37.80612209172951,-122.45320558547974,4248,0,0,0,1,0,0,0,0,0
10,1,37.80612209172951,-122.45320558547974,4248,1,0,0,0,0,0,0,0,0
10,1,37.80612209172951,-122.45320558547974,4248,0,1,0,0,0,0,0,0,0
10,1,37.80612209172951,-122.45320558547974,4248,0,0,1,0,0,0,0,0,0
10,1,37.80612209172951,-122.45320558547974,4248,0,0,0,0,0,0,0,1,0
5,1,37.80547970041795,-122.45395845658027,4274,0,0,0,0,0,0,1,0,0
90,1,37.75736758449066,-122.4395462360707,4288,0,0,0,0,0,0,1,0,0
35,1,37.758289882870194,-122.44143521277012,4309,0,0,0,0,0,0,1,0,0
92,1,37.76111384571172,-122.44556665420534,4321,0,0,0,0,0,0,1,0,0
169,1,37.76015557078295,-122.44462485145546,4339,0,0,0,0,0,0,1,0,0
37,1,37.769057913877674,-122.45391975521774,4379,0,0,0,0,1,0,0,0,0
77,1,37.7543816767982,-122.43614387925199,4398,0,0,0,0,0,0,1,0,0
101,1,37.81329306633966,-122.37089395523071,4458,0,1,0,0,0,0,0,0,0
101,1,37.81329306633966,-122.37089395523071,4458,0,0,1,0,0,0,0,0,0
101,1,37.81329306633966,-122.37089395523071,4458,0,0,0,1,0,0,0,0,0
101,1,37.81329306633966,-122.37089395523071,4458,1,0,0,0,0,0,0,0,0
101,1,37.81329306633966,-122.37089395523071,4458,0,0,0,0,0,1,0,0,0
101,1,37.81329306633966,-122.37089395523071,4458,0,0,0,0,0,0,0,1,0
130,1,37.754363215506096,-122.38336199175986,4469,0,0,0,1,0,0,0,0,0
130,1,37.754363215506096,-122.38336199175986,4469,0,0,1,0,0,0,0,0,0
130,1,37.754363215506096,-122.38336199175986,4469,0,0,0,0,0,0,0,1,0
130,1,37.754363215506096,-122.38336199175986,4469,1,0,0,0,0,0,0,0,0
130,1,37.754363215506096,-122.38336199175986,4469,0,0,0,0,0,1,0,0,0
130,1,37.754363215506096,-122.38336199175986,4469,0,1,0,0,0,0,0,0,0
102,1,37.754333609884796,-122.38307201318975,4485,0,0,1,0,0,0,0,0,0
102,1,37.754333609884796,-122.38307201318975,4485,0,0,0,1,0,0,0,0,0
102,1,37.754333609884796,-122.38307201318975,4485,1,0,0,0,0,0,0,0,0
102,1,37.754333609884796,-122.38307201318975,4485,0,0,0,0,0,0,0,1,0
102,1,37.754333609884796,-122.38307201318975,4485,0,1,0,0,0,0,0,0,0
102,1,37.754333609884796,-122.38307201318975,4485,0,0,0,0,0,1,0,0,0
38,1,37.80527578397067,-122.4569218326942,4499,0,0,0,0,1,0,0,0,0
74,1,37.80999813154709,-122.36632412676066,4575,0,0,0,0,0,0,1,0,0
71,1,37.758293558681466,-122.44692653417586,4629,0,0,0,0,0,0,1,0,0
152,1,37.769166445593704,-122.45817638933659,4704,0,0,0,0,0,0,0,1,0
152,1,37.769166445593704,-122.45817638933659,4704,0,0,0,1,0,0,0,0,0
152,1,37.769166445593704,-122.45817638933659,4704,0,0,1,0,0,0,0,0,0
152,1,37.769166445593704,-122.45817638933659,4704,1,0,0,0,0,0,0,0,0
152,1,37.769166445593704,-122.45817638933659,4704,0,1,0,0,0,0,0,0,0
152,1,37.769166445593704,-122.45817638933659,4704,0,0,0,0,0,1,0,0,0
112,1,37.78704151179793,-122.46564008499463,4852,0,0,0,0,1,0,0,0,0
56,1,37.756202659943916,-122.4485492706299,4896,0,0,0,0,1,0,0,0,0
36,1,37.79923865734214,-122.4647283554077,4923,0,0,0,0,0,0,1,0,0
37,1,37.75457824954849,-122.44688093662262,4933,0,0,0,0,0,0,1,0,0
170,1,37.75298341033597,-122.44457129843651,4944,0,0,0,0,0,0,1,0,0
40,1,37.770860989544204,-122.46220704891903,4946,0,0,0,0,1,0,0,0,0
104,1,37.81209806594886,-122.36279377315411,4962,0,0,0,0,0,1,0,0,0
104,1,37.81209806594886,-122.36279377315411,4962,0,1,0,0,0,0,0,0,0
104,1,37.81209806594886,-122.36279377315411,4962,0,0,0,0,0,0,0,1,0
104,1,37.81209806594886,-122.36279377315411,4962,1,0,0,0,0,0,0,0,0
104,1,37.81209806594886,-122.36279377315411,4962,0,0,1,0,0,0,0,0,0
104,1,37.81209806594886,-122.36279377315411,4962,0,0,0,1,0,0,0,0,0
171,1,37.743298974907646,-122.40839152923758,5012,0,0,0,0,0,0,1,0,0
20,1,37.74378561915743,-122.41954487872388,5018,0,0,0,0,0,0,1,0,0
73,1,37.75315314996302,-122.44729936122896,5078,0,0,0,0,0,0,1,0,0
24,1,37.804341954682855,-122.46535062789917,5144,0,0,1,0,0,0,0,0,0
24,1,37.804341954682855,-122.46535062789917,5144,1,0,0,0,0,0,0,0,0
24,1,37.804341954682855,-122.46535062789917,5144,0,0,0,0,0,0,0,1,0
24,1,37.804341954682855,-122.46535062789917,5144,0,1,0,0,0,0,0,0,0
24,1,37.804341954682855,-122.46535062789917,5144,0,0,0,0,0,1,0,0,0
24,1,37.804341954682855,-122.46535062789917,5144,0,0,0,1,0,0,0,0,0
40,1,37.804341954682855,-122.46535062789917,5144,0,0,0,0,0,0,1,0,0
5,1,37.787303073558135,-122.46913934392096,5159,0,0,0,0,1,0,0,0,0
172,1,37.749355012661866,-122.44374080020863,5229,0,0,0,0,0,0,1,0,0
113,1,37.75536,-122.45289,5230,0,0,0,0,0,0,1,0,0
64,1,37.751579570617366,-122.44768023490906,5235,0,0,0,0,0,0,1,0,0
72,1,37.824090595823414,-122.37070083618163,5303,0,0,0,0,0,0,1,0,0
41,1,37.78797115949144,-122.47106909751894,5328,0,0,0,0,1,0,0,0,0
85,1,37.769801627279755,-122.46648467196364,5338,0,0,0,0,0,0,1,0,0
173,1,37.748057017500756,-122.44441975842673,5383,0,0,0,0,0,0,1,0,0
6,1,37.77205414758087,-122.46837464962785,5403,0,0,0,0,0,0,1,0,0
12,1,37.80663387318886,-122.46835470199584,5483,0,0,0,1,0,0,0,0,0
12,1,37.80663387318886,-122.46835470199584,5483,1,0,0,0,0,0,0,0,0
12,1,37.80663387318886,-122.46835470199584,5483,0,1,0,0,0,0,0,0,0
12,1,37.80663387318886,-122.46835470199584,5483,0,0,0,0,0,1,0,0,0
12,1,37.80663387318886,-122.46835470199584,5483,0,0,0,0,0,0,0,1,0
12,1,37.80663387318886,-122.46835470199584,5483,0,0,1,0,0,0,0,0,0
19,1,37.80500841455532,-122.46981112973964,5538,0,0,0,0,0,0,1,0,0
27,1,37.80664385016496,-122.46917251169155,5550,0,0,0,0,0,0,1,0,0
42,1,37.770280804235725,-122.46982713746732,5591,0,0,0,0,1,0,0,0,0
22,1,37.740717353674626,-122.43244860765093,5638,0,0,0,0,0,0,1,0,0
43,1,37.768214,-122.469689,5667,0,0,0,0,1,0,0,0,0
75,1,37.808541273286345,-122.4706733797899,5752,0,0,0,0,0,0,1,0,0
92,1,37.787979638314894,-122.47589707374573,5753,0,0,0,0,0,0,0,1,0
92,1,37.787979638314894,-122.47589707374573,5753,0,0,0,0,0,1,0,0,0
24,1,37.787979638314894,-122.47589707374573,5753,0,0,0,0,0,0,1,0,0
92,1,37.787979638314894,-122.47589707374573,5753,0,1,0,0,0,0,0,0,0
92,1,37.787979638314894,-122.47589707374573,5753,1,0,0,0,0,0,0,0,0
92,1,37.787979638314894,-122.47589707374573,5753,0,0,1,0,0,0,0,0,0
92,1,37.787979638314894,-122.47589707374573,5753,0,0,0,1,0,0,0,0,0
100,1,37.7684786779139,-122.47337367752381,5955,0,0,0,0,0,0,1,0,0
8,1,37.7684786779139,-122.47337367752381,5955,0,0,0,0,0,0,0,0,1
0,1,37.768829615754555,-122.47371639675822,5969,0,0,0,0,0,0,0,0,1
153,1,37.79414823197996,-122.4781483776165,5986,0,0,1,0,0,0,0,0,0
153,1,37.79414823197996,-122.4781483776165,5986,1,0,0,0,0,0,0,0,0
153,1,37.79414823197996,-122.4781483776165,5986,0,0,0,0,0,1,0,0,0
153,1,37.79414823197996,-122.4781483776165,5986,0,1,0,0,0,0,0,0,0
153,1,37.79414823197996,-122.4781483776165,5986,0,0,0,1,0,0,0,0,0
153,1,37.79414823197996,-122.4781483776165,5986,0,0,0,0,0,0,0,1,0
9,1,37.796177092605056,-122.47785677936717,5989,0,0,0,0,0,0,1,0,0
3,1,37.769529936552026,-122.47484404565844,6034,0,0,0,0,0,0,0,0,1
0,1,37.769529936552026,-122.47484404565844,6034,0,0,0,0,1,0,0,0,0
105,1,37.80736384386495,-122.47491037756765,6050,0,0,1,0,0,0,0,0,0
105,1,37.80736384386495,-122.47491037756765,6050,0,0,0,0,0,1,0,0,0
105,1,37.80736384386495,-122.47491037756765,6050,0,0,0,0,0,0,0,1,0
105,1,37.80736384386495,-122.47491037756765,6050,0,1,0,0,0,0,0,0,0
105,1,37.80736384386495,-122.47491037756765,6050,0,0,0,1,0,0,0,0,0
105,1,37.80736384386495,-122.47491037756765,6050,1,0,0,0,0,0,0,0,0
91,1,37.807744365548366,-122.47484957331918,6060,0,0,0,0,0,0,1,0,0
131,1,37.803397017309756,-122.4770108662386,6087,0,0,0,0,0,0,1,0,0
7,1,37.80410459983463,-122.47678756713866,6090,0,0,0,0,0,0,1,0,0
13,1,37.80088926627841,-122.47788849511707,6091,0,0,0,0,0,0,1,0,0
