,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Waterfall
144,1,Sky Deck & Spirits in the Sky,37.79253978836316,-122.40048581096002,999,0,0,0,0,0,0,1,0
43,1,Tlaloc Sabor Mexicano,37.794299,-122.40186,1011,0,0,0,0,0,1,0,0
25,1,Raavi,37.796135815843115,-122.40458250045775,1015,0,0,1,0,0,0,0,0
79,1,Broadway Jones Overlook,37.796897,-122.414488,1019,0,0,0,0,0,0,1,0
94,1,Jersey,37.787488,-122.398951,1020,0,0,0,1,0,0,0,0
60,1,Caffè Macaroni,37.79622898232179,-122.40435531759682,1035,0,0,0,1,0,0,0,0
177,1,Kells Irish Restaurant & Bar,37.79642703413752,-122.40431614281337,1055,1,0,0,0,0,0,0,0
34,1,Zero Zero,37.781633232081795,-122.40174301548008,1069,0,0,0,1,0,0,0,0
99,1,1760,37.793206351545,-122.42121062069958,1089,0,0,0,1,0,0,0,0
9,1,Ristorante Milano,37.795428170023136,-122.41906491710779,1094,0,0,0,1,0,0,0,0
30,1,Mela Tandoori Kitchen,37.78117844186307,-122.41950447593972,1120,0,0,1,0,0,0,0,0
42,1,È Tutto Qua!,37.79789622978321,-122.40630879449078,1130,0,0,0,1,0,0,0,0
110,1,Vallejo Street Garage,37.798486810991726,-122.40975956234908,1135,0,0,0,0,0,0,1,0
174,1,Southside Spirit House,37.78722038033328,-122.39763905462681,1137,1,0,0,0,0,0,0,0
95,1,Urban Curry,37.79790489621876,-122.40597633349408,1140,0,0,1,0,0,0,0,0
39,1,Barbacco,37.79321106834001,-122.399090115992,1142,0,0,0,1,0,0,0,0
3,1,Perbacco,37.79328790074778,-122.39913383967941,1143,0,0,0,1,0,0,0,0
107,1,The Stinking Rose,37.79829369624773,-122.40743841573936,1144,0,0,0,1,0,0,0,0
10,1,Franchino,37.798392,-122.407672,1150,0,0,0,1,0,0,0,0
41,1,Bix,37.79676889447939,-122.4029572795956,1152,0,0,0,1,0,0,0,0
56,1,Tommaso's,37.797806,-122.405316,1152,0,0,0,1,0,0,0,0
72,1,15 Romolo,37.79813384627597,-122.40637986504598,1153,1,0,0,0,0,0,0,0
